"","codigo_ibge","nome","latitude","longitude","idh10","espvi10","fect10","mort10","estudo10","Renda"
"172",2313302,"Tauá",-5.98585,-40.2968,0.633,71.4,2.06,22.5,9.86,5.70020943226942
"173",2313351,"Tejuçuoca",-3.98831,-39.5799,0.584,69.54,2.57,27.9,9.42,5.29265134492141
"174",2313401,"Tianguá",-3.72965,-40.9923,0.657,71.07,2.51,23.4,9.68,5.95131940680356
"175",2313500,"Trairi",-3.26932,-39.2681,0.606,69.34,2.74,28.5,10.45,5.31640283409442
"176",2313559,"Tururu",-3.58413,-39.4297,0.606,70.57,2.57,24.8,9.89,5.21243262739087
"177",2313609,"Ubajara",-3.85448,-40.9204,0.648,71.14,2.48,23.2,9.88,5.74853274339427
"178",2313708,"Umari",-6.63893,-38.7008,0.591,71.65,1.9,21.8,8.51,5.40739596157427
"179",2313757,"Umirim",-3.67654,-39.3465,0.587,70.07,2.86,26.3,9.1,5.25117334673922
"180",2313807,"Uruburetama",-3.62316,-39.5107,0.639,70.57,2.61,24.8,10.14,5.57458453618452
"181",2313906,"Uruoca",-3.30819,-40.5628,0.566,69.7,2.79,27.4,9.85,5.19993246462664
"182",2313955,"Varjota",-4.19387,-40.4741,0.611,68.65,2.43,30.7,9.47,5.63318116747265
"183",2314003,"Várzea Alegre",-6.78264,-39.2942,0.629,70.54,2.13,24.9,9.8,5.6121056860843
"184",2314102,"Viçosa do Ceará",-3.5667,-41.0916,0.571,70.2,2.82,25.9,8.94,5.31192436995425
